Domain,IP,Traceroute
google.com,74.125.136.100,"traceroute to 74.125.136.100 (74.125.136.100), 10 hops max, 60 byte packets
 1  172.18.0.1  0.507 ms  0.881 ms  0.734 ms
 2  192.168.1.1  2.400 ms  2.395 ms  2.392 ms
 3  10.3.128.1  2.876 ms  3.095 ms  3.092 ms
 4  84.237.49.5  4.535 ms  4.950 ms  4.945 ms
 5  84.237.49.138  5.628 ms  5.678 ms  5.765 ms
 6  95.170.130.189  5.795 ms  5.615 ms  5.278 ms
 7  85.112.122.5  53.148 ms  51.706 ms  51.679 ms
 8  195.208.208.232  47.079 ms  46.851 ms  46.654 ms
 9  * * *
10  192.178.241.148  54.909 ms  54.200 ms  54.479 ms"
google.com,74.125.136.113,"traceroute to 74.125.136.113 (74.125.136.113), 10 hops max, 60 byte packets
 1  172.18.0.1  1.090 ms  1.197 ms  1.204 ms
 2  192.168.1.1  10.671 ms  10.826 ms  10.837 ms
 3  10.3.128.1  3.314 ms  3.357 ms  3.364 ms
 4  84.237.49.5  6.249 ms  6.300 ms  6.307 ms
 5  84.237.49.138  10.160 ms  10.212 ms  10.221 ms
 6  95.170.130.189  10.836 ms  9.699 ms  9.676 ms
 7  85.112.122.5  47.409 ms  45.913 ms  45.876 ms
 8  195.208.208.232  45.972 ms  44.936 ms  45.162 ms
 9  * 172.253.75.61  54.746 ms  55.028 ms
10  209.85.143.20  54.764 ms  54.786 ms  55.047 ms"
google.com,74.125.136.138,"traceroute to 74.125.136.138 (74.125.136.138), 10 hops max, 60 byte packets
 1  172.18.0.1  1.407 ms  1.497 ms  1.507 ms
 2  192.168.1.1  2.897 ms  3.003 ms *
 3  10.3.128.1  3.641 ms  3.672 ms  3.679 ms
 4  84.237.49.5  5.317 ms  5.608 ms  5.605 ms
 5  84.237.49.138  6.600 ms  6.597 ms  6.595 ms
 6  95.170.130.189  7.213 ms  5.803 ms  6.406 ms
 7  85.112.122.5  56.139 ms  54.674 ms  54.706 ms
 8  195.208.208.232  50.938 ms  51.146 ms  51.136 ms
 9  192.178.241.55  58.259 ms *  58.237 ms
10  192.178.241.70  58.704 ms  58.684 ms  58.739 ms"
google.com,74.125.136.101,"traceroute to 74.125.136.101 (74.125.136.101), 10 hops max, 60 byte packets
 1  172.18.0.1  1.062 ms  1.033 ms  1.028 ms
 2  192.168.1.1  4.514 ms * *
 3  10.3.128.1  4.629 ms  4.962 ms  4.996 ms
 4  84.237.49.5  5.677 ms  5.675 ms  5.672 ms
 5  84.237.49.138  6.982 ms  7.212 ms  7.209 ms
 6  95.170.130.189  11.377 ms  10.180 ms  10.147 ms
 7  85.112.122.5  50.212 ms  46.745 ms  47.078 ms
 8  195.208.208.232  46.336 ms  46.317 ms  45.560 ms
 9  * * 192.178.241.241  59.528 ms
10  * * *"
google.com,74.125.136.102,"traceroute to 74.125.136.102 (74.125.136.102), 10 hops max, 60 byte packets
 1  172.18.0.1  1.015 ms  0.985 ms  0.981 ms
 2  192.168.1.1  3.752 ms * *
 3  10.3.128.1  4.424 ms  4.967 ms  5.391 ms
 4  84.237.49.5  6.995 ms  6.992 ms  7.192 ms
 5  84.237.49.138  9.333 ms  9.330 ms  9.327 ms
 6  95.170.130.189  9.359 ms  8.299 ms  8.233 ms
 7  85.112.122.5  55.319 ms  52.633 ms  52.068 ms
 8  195.208.208.232  46.637 ms  46.315 ms  45.322 ms
 9  192.178.241.161  58.290 ms  58.139 ms  58.119 ms
10  192.178.241.146  58.654 ms * *"
google.com,74.125.136.139,"traceroute to 74.125.136.139 (74.125.136.139), 10 hops max, 60 byte packets
 1  172.18.0.1  0.834 ms  0.803 ms  0.799 ms
 2  192.168.1.1  2.516 ms * *
 3  10.3.128.1  2.818 ms  2.816 ms  2.813 ms
 4  84.237.49.5  4.493 ms  4.714 ms  4.711 ms
 5  84.237.49.138  5.847 ms  6.543 ms  6.540 ms
 6  95.170.130.189  9.654 ms  8.845 ms  8.814 ms
 7  85.112.122.5  49.678 ms  48.268 ms  47.924 ms
 8  195.208.208.232  47.622 ms  47.964 ms  46.572 ms
 9  192.178.241.55  54.771 ms  54.757 ms *
10  * * *"
yandex.ru,77.88.55.88,"traceroute to 77.88.55.88 (77.88.55.88), 10 hops max, 60 byte packets
 1  172.18.0.1  0.919 ms  0.885 ms  0.882 ms
 2  192.168.1.1  6.749 ms * *
 3  10.3.128.1  7.046 ms  7.253 ms  7.250 ms
 4  84.237.49.5  7.246 ms  7.243 ms  7.240 ms
 5  84.237.49.138  7.337 ms  7.334 ms  7.332 ms
 6  95.170.130.189  9.014 ms  7.968 ms  7.934 ms
 7  85.112.122.5  49.380 ms  46.076 ms  46.090 ms
 8  193.106.112.112  41.525 ms  41.504 ms  41.927 ms
 9  93.158.160.240  62.648 ms * *
10  * * *"
yandex.ru,77.88.44.55,"traceroute to 77.88.44.55 (77.88.44.55), 10 hops max, 60 byte packets
 1  172.18.0.1  0.824 ms  0.794 ms  0.790 ms
 2  192.168.1.1  4.218 ms  4.216 ms *
 3  10.3.128.1  4.603 ms  4.601 ms  4.598 ms
 4  84.237.49.5  4.593 ms  4.590 ms  4.587 ms
 5  84.237.49.138  5.017 ms  5.014 ms  5.011 ms
 6  95.170.130.189  5.179 ms  4.259 ms  4.231 ms
 7  85.112.122.5  49.866 ms  48.622 ms  48.585 ms
 8  193.106.112.112  43.201 ms  43.178 ms  43.342 ms
 9  93.158.160.240  60.037 ms  60.031 ms  60.024 ms
10  * * *"
yandex.ru,5.255.255.77,"traceroute to 5.255.255.77 (5.255.255.77), 10 hops max, 60 byte packets
 1  172.18.0.1  0.953 ms  0.929 ms  0.926 ms
 2  192.168.1.1  4.051 ms * *
 3  10.3.128.1  4.374 ms  4.434 ms  4.432 ms
 4  84.237.49.5  5.571 ms  5.569 ms  5.567 ms
 5  84.237.49.138  5.864 ms  5.863 ms  5.861 ms
 6  95.170.130.189  5.891 ms  5.014 ms  4.983 ms
 7  194.226.100.90  59.147 ms  56.233 ms  56.004 ms
 8  93.158.172.43  66.333 ms  66.394 ms  65.425 ms
 9  * * *
10  * * *"
github.com,140.82.121.3,"traceroute to 140.82.121.3 (140.82.121.3), 10 hops max, 60 byte packets
 1  172.18.0.1  1.231 ms  1.208 ms  1.205 ms
 2  192.168.1.1  2.352 ms * *
 3  10.3.128.1  2.846 ms  3.274 ms  3.272 ms
 4  84.237.49.5  4.201 ms  4.199 ms  4.197 ms
 5  84.237.49.138  4.494 ms  4.492 ms  4.490 ms
 6  95.170.130.189  4.900 ms  3.614 ms  3.585 ms
 7  188.234.79.52  4.011 ms  3.169 ms  2.746 ms
 8  213.248.97.53  54.737 ms  55.049 ms  54.110 ms
 9  213.248.97.52  60.747 ms  61.117 ms  61.109 ms
10  62.115.139.51  70.193 ms  70.188 ms  69.686 ms"
